Locus	Name	main	G1_trimmed_unaligned_RFAM_RNACentral	G2_trimmed_unaligned_RFAM_RNACentral	G3_trimmed_unaligned_RFAM_RNACentral	U1_trimmed_unaligned_RFAM_RNACentral	W0U1_trimmed_unaligned_RFAM_RNACentral	W0U2_trimmed_unaligned_RFAM_RNACentral	W0U3_trimmed_unaligned_RFAM_RNACentral	W3I1_trimmed_unaligned_RFAM_RNACentral	W3I2_trimmed_unaligned_RFAM_RNACentral	W3I3_trimmed_unaligned_RFAM_RNACentral	W5I1_trimmed_unaligned_RFAM_RNACentral	W5I2_trimmed_unaligned_RFAM_RNACentral	W5I3_trimmed_unaligned_RFAM_RNACentral	W7I1_trimmed_unaligned_RFAM_RNACentral	W7I2_trimmed_unaligned_RFAM_RNACentral	W7I3_trimmed_unaligned_RFAM_RNACentral
chr1A:540453-540763	Cluster_187	251	33	50	50	52	0	0	0	0	0	1	1	1	0	13	23	27
chr1A:541050-541569	Cluster_188	515	54	127	94	97	0	0	0	0	0	0	1	1	0	23	68	50
chr1A:541701-542132	Cluster_189	295	28	77	68	45	0	0	0	0	0	0	0	0	1	20	33	23
chr1A:542250-543065	Cluster_190	649	79	158	132	110	0	0	1	0	1	0	0	0	2	29	58	79
chr1A:543950-544482	Cluster_192	557	53	113	89	79	0	0	0	0	0	0	1	0	0	47	78	97
chr1A:551833-552911	Cluster_200	891	120	211	149	100	0	0	0	0	1	0	2	3	1	75	113	116
chr1A:553505-554738	Cluster_202	599	76	134	111	71	0	0	1	0	0	1	0	0	0	40	78	87
chr1A:558070-560591	Cluster_204	488	66	110	90	66	0	0	1	0	0	0	0	1	1	30	55	68
chr1A:560712-562287	Cluster_205	466	57	81	64	53	0	0	0	0	0	0	1	1	0	48	81	80
chr1A:563245-564071	Cluster_206	253	21	54	39	31	0	0	0	0	0	0	1	0	0	27	38	42
chr1A:586020-588804	Cluster_212	458	44	92	88	59	0	0	0	0	0	0	2	2	0	32	60	79
chr1A:612042-616746	Cluster_224	1458	244	401	300	257	0	0	0	0	1	0	0	1	4	50	103	97
chr1A:620740-623476	Cluster_227	728	85	141	129	89	0	0	3	0	0	0	1	1	0	49	118	112
chr1A:660373-665323	Cluster_241	4272	2800	684	567	172	1	0	1	0	0	1	0	1	2	11	12	20
chr1A:693581-699283	Cluster_254	2435	369	624	498	363	0	1	0	0	4	2	0	3	29	72	224	246
chr1A:742500-742769	Cluster_267	424	53	91	64	50	0	2	0	0	0	0	0	0	0	25	55	84
chr1A:746443-749068	Cluster_269	1462	279	449	359	201	0	0	0	0	0	0	1	0	4	36	58	75
chr1A:783677-786102	Cluster_284	274	143	55	50	25	0	0	0	0	0	0	0	0	0	0	1	0
chr1A:796850-797591	Cluster_290	1867	254	748	618	213	0	0	0	0	1	2	0	4	2	7	8	10
chr1A:820306-820719	Cluster_306	299	29	61	41	34	0	0	0	0	0	0	1	0	0	22	53	58
chr1A:855116-859185	Cluster_313	493	58	95	95	63	0	0	0	0	0	0	1	0	0	23	72	86
chr1A:882045-886258	Cluster_315	2810	533	957	768	544	0	0	0	0	0	0	0	0	1	2	1	4
chr1A:927579-929441	Cluster_330	495	95	164	129	89	0	0	0	0	0	0	0	1	1	2	9	5
chr1A:957665-960480	Cluster_343	496	49	103	70	72	0	0	0	0	1	0	0	1	0	33	79	88
chr1A:996486-997746	Cluster_354	255	49	93	66	46	0	0	0	0	0	0	0	0	0	0	0	1
chr1A:1005203-1007199	Cluster_357	278	151	57	35	23	0	1	0	0	1	0	0	0	0	3	4	3
chr1A:1030288-1033114	Cluster_368	1142	827	145	126	39	0	1	0	0	0	0	0	0	2	0	0	2
chr1A:1048936-1051216	Cluster_377	746	99	161	145	89	0	1	0	0	0	0	0	0	2	46	86	117
chr1A:1053493-1054697	Cluster_381	869	138	208	178	96	0	0	1	0	0	0	0	1	2	36	81	128
chr1A:1096050-1096477	Cluster_394	387	52	90	82	57	0	0	0	1	0	0	1	0	0	25	44	35
chr1A:1097558-1098018	Cluster_395	259	16	71	50	23	0	0	0	0	0	0	0	1	0	21	41	36
chr1A:1103700-1104321	Cluster_401	590	59	174	144	48	0	0	0	0	0	0	0	0	0	23	68	74
chr1A:1179337-1181669	Cluster_422	552	351	78	67	51	0	0	0	0	0	0	0	0	0	2	1	2
chr1A:1260277-1261116	Cluster_439	3153	567	1170	888	499	0	0	0	0	0	0	0	0	2	3	6	18
chr1A:1298219-1299136	Cluster_452	442	37	84	77	46	0	0	1	0	0	0	1	0	0	30	72	94
chr1A:1302010-1302395	Cluster_455	582	72	145	115	54	0	0	0	0	0	0	1	0	0	27	78	90
chr1A:1319028-1319930	Cluster_465	448	269	85	61	30	0	0	0	0	0	0	0	0	0	0	2	1
chr1A:1362495-1366785	Cluster_475	1207	666	254	200	82	0	0	0	0	0	0	0	0	0	2	3	0
chr1A:1386089-1386808	Cluster_483	254	150	49	34	21	0	0	0	0	0	0	0	0	0	0	0	0
chr1A:1386921-1387911	Cluster_484	840	551	140	96	46	0	0	0	0	0	0	0	0	0	0	4	3
chr1A:1388564-1389117	Cluster_486	267	192	33	34	8	0	0	0	0	0	0	0	0	0	0	0	0
chr1A:1390249-1392552	Cluster_490	458	245	79	47	30	0	0	0	0	0	0	0	3	1	11	24	18
chr1A:1397600-1397866	Cluster_492	418	43	80	44	49	0	0	0	0	0	0	0	1	0	43	60	98
chr1A:1398603-1398859	Cluster_494	273	25	67	63	36	0	0	0	0	0	0	0	0	0	14	29	39
chr1A:1444630-1448782	Cluster_507	600	77	124	110	80	0	1	0	0	0	0	1	0	2	32	74	99
chr1A:1449461-1451963	Cluster_509	378	38	82	78	51	0	0	0	0	0	0	0	0	1	13	53	62
chr1A:1464118-1464598	Cluster_517	583	123	187	133	90	0	0	0	0	0	0	0	4	7	11	19	9
chr1A:1524263-1524936	Cluster_540	825	278	297	220	15	0	0	0	0	0	0	0	0	0	4	6	5
chr1A:1579722-1582585	Cluster_555	4581	911	1470	1247	899	0	0	0	1	1	2	1	5	11	3	12	18
chr1A:1713866-1716343	Cluster_579	622	64	161	106	85	0	0	0	0	1	0	2	1	0	39	89	74
chr1A:1755600-1758824	Cluster_591	1069	110	238	158	150	0	0	0	0	1	1	0	1	4	71	155	180
chr1A:1759454-1760358	Cluster_592	464	47	120	60	52	0	0	0	0	0	0	0	0	0	28	71	86
chr1A:1770126-1771303	Cluster_597	251	81	53	47	34	0	0	0	0	0	0	0	0	5	5	6	20
chr1A:1820456-1821406	Cluster_613	634	148	222	157	81	0	0	0	0	0	0	0	2	0	4	10	10
chr1A:1822619-1823419	Cluster_616	388	29	57	48	37	0	0	0	0	0	1	1	0	1	36	83	95
chr1A:1921394-1925097	Cluster_646	389	85	133	83	69	0	0	0	0	0	0	1	0	1	4	8	5
chr1A:1925387-1927504	Cluster_647	516	315	99	75	23	0	0	0	0	0	0	0	0	0	0	3	1
chr1A:1944078-1944668	Cluster_651	264	26	59	42	32	0	0	0	0	0	0	2	0	0	24	27	52
chr1A:1958419-1960266	Cluster_653	276	38	52	45	41	0	0	1	0	0	0	0	0	0	13	43	43
chr1A:2016952-2017744	Cluster_679	430	87	100	106	97	0	0	0	0	1	0	0	4	7	7	11	10
chr1A:2018181-2018594	Cluster_680	243	43	63	57	60	0	0	0	0	2	0	0	2	3	3	2	8
chr1A:2166398-2166765	Cluster_722	280	68	94	72	41	0	0	0	0	0	0	0	0	1	1	2	1
chr1A:2175563-2176464	Cluster_730	1698	1294	225	166	10	0	0	0	0	0	0	0	1	1	0	0	1
chr1A:2176568-2176892	Cluster_731	683	558	78	45	1	0	0	0	0	1	0	0	0	0	0	0	0
chr1A:2176983-2177213	Cluster_732	438	364	35	37	2	0	0	0	0	0	0	0	0	0	0	0	0
chr1A:2194845-2197108	Cluster_740	261	34	39	43	42	0	0	0	0	0	0	2	1	2	10	45	43
chr1A:2197761-2199091	Cluster_742	308	27	64	50	43	0	1	1	0	0	0	1	0	0	30	39	52
chr1A:2207761-2208898	Cluster_745	282	24	51	39	41	0	0	0	0	0	0	0	1	0	27	47	52
chr1A:2239854-2240093	Cluster_752	1447	288	509	389	180	0	0	0	2	0	2	0	6	10	11	26	24
chr1A:2267259-2268773	Cluster_765	735	89	164	137	106	0	1	1	1	0	1	1	1	1	46	93	93
chr1A:2269303-2271306	Cluster_766	752	90	162	115	145	0	0	0	0	0	0	2	0	1	51	89	97
chr1A:2294408-2294593	Cluster_778	341	41	119	94	38	0	0	1	0	0	0	0	1	0	10	24	13
chr1A:2307857-2308765	Cluster_785	408	34	68	66	27	0	0	0	0	0	0	1	1	0	59	59	93
chr1A:2312709-2318651	Cluster_790	1536	170	296	235	194	0	0	0	1	0	0	0	3	0	149	231	257
chr1A:2318732-2325362	Cluster_791	4392	542	1004	763	500	0	1	4	0	1	0	3	4	0	305	592	673
chr1A:2331175-2334170	Cluster_798	1176	147	257	197	165	0	0	0	0	0	0	2	0	1	91	148	168
chr1A:2334552-2346039	Cluster_800	12326	1520	2827	2295	1342	0	7	3	0	5	4	14	8	9	937	1563	1792
chr1A:2346220-2363819	Cluster_801	17192	2011	3930	2989	2194	4	3	3	1	5	7	18	12	10	1130	2450	2425
chr1A:2364150-2388167	Cluster_802	46507	5753	10512	8343	5969	1	8	4	4	7	8	29	22	24	3161	6137	6525
chr1A:2396398-2399881	Cluster_808	2166	255	473	415	255	0	0	0	1	1	1	1	0	1	156	286	321
chr1A:2427761-2429255	Cluster_821	267	43	59	41	38	0	0	0	0	0	0	1	0	0	20	25	40
chr1A:2429343-2429772	Cluster_822	319	86	106	89	26	0	0	1	0	0	0	0	0	0	1	5	5
chr1A:2446903-2449592	Cluster_829	302	41	73	48	24	0	0	1	0	0	0	0	0	0	20	44	51
chr1A:2449688-2452752	Cluster_830	451	42	84	73	56	0	0	0	0	0	0	0	0	0	31	68	97
chr1A:2487873-2489570	Cluster_847	301	37	52	50	45	0	0	0	0	0	0	0	0	0	25	36	56
chr1A:2533694-2534130	Cluster_863	256	50	105	71	28	0	0	0	0	0	0	0	0	1	0	0	1
chr1A:2602374-2606316	Cluster_878	1137	697	199	137	74	0	0	0	0	1	1	0	2	2	4	8	12
chr1A:2617458-2617708	Cluster_883	466	100	93	66	99	0	0	0	0	0	0	0	1	1	23	44	39
chr1A:2657213-2659044	Cluster_889	1127	198	380	295	222	0	0	0	0	0	0	0	4	5	9	5	9
chr1A:2747608-2748106	Cluster_900	261	209	31	16	5	0	0	0	0	0	0	0	0	0	0	0	0
chr1A:2748200-2748673	Cluster_901	393	316	31	29	15	0	0	0	0	0	0	0	0	0	0	0	2
chr1A:2748987-2749258	Cluster_903	470	349	50	50	18	0	0	1	0	0	0	0	0	1	1	0	0
chr1A:2749333-2750447	Cluster_904	624	485	61	55	19	0	0	0	0	0	0	0	0	0	2	2	0
chr1A:2751582-2752326	Cluster_908	349	229	59	41	16	0	0	0	0	0	0	0	0	0	0	3	1
chr1A:2761675-2763787	Cluster_913	541	244	119	98	65	0	0	1	0	0	0	0	0	2	3	1	8
chr1A:2789853-2794498	Cluster_916	480	55	92	74	84	0	1	0	0	0	0	1	0	0	37	59	77
chr1A:2806486-2809262	Cluster_919	1664	377	500	386	324	0	1	0	1	1	0	1	5	12	16	14	26
chr1A:2810637-2813011	Cluster_920	442	53	104	68	57	0	0	0	0	0	0	0	0	0	25	63	72
chr1A:2813988-2814715	Cluster_922	330	36	61	43	62	0	0	0	0	0	0	0	0	0	24	41	63
chr1A:2816650-2817209	Cluster_924	659	74	133	118	106	0	0	0	1	0	1	1	0	0	40	82	103
chr1A:2818600-2819037	Cluster_926	492	52	114	80	55	0	1	0	0	0	0	0	0	2	30	76	82
chr1A:2827233-2829296	Cluster_934	393	77	100	101	66	0	0	0	0	0	0	3	0	2	8	16	20
chr1A:2838324-2842410	Cluster_937	668	384	112	110	43	0	0	0	0	0	0	0	1	4	1	5	8
chr1A:2874634-2876523	Cluster_954	317	207	39	48	15	0	0	0	1	0	1	0	0	0	1	2	3
chr1A:2996604-2998259	Cluster_997	407	64	111	84	57	0	0	0	0	0	1	0	1	2	18	35	34
chr1A:3010663-3012673	Cluster_1003	485	214	102	71	79	0	0	0	0	0	0	0	0	2	9	4	4
chr1A:3031996-3032671	Cluster_1007	267	26	51	53	32	0	0	0	0	0	0	0	0	0	16	41	48
chr1A:3042765-3044204	Cluster_1011	437	291	73	67	3	0	0	0	0	0	0	0	0	2	1	0	0
chr1A:3052579-3054950	Cluster_1016	369	230	51	41	38	0	0	0	0	0	0	1	0	3	2	1	2
chr1A:3107687-3109326	Cluster_1036	787	207	292	215	71	0	0	0	0	1	0	0	0	0	0	1	0
chr1A:3193385-3195409	Cluster_1060	690	355	107	98	125	0	0	0	0	1	0	1	0	0	0	1	2
chr1A:3195745-3196736	Cluster_1062	1088	388	346	230	110	0	0	0	0	0	0	0	1	4	0	7	2
chr1A:3221761-3223299	Cluster_1081	274	60	85	70	56	0	0	0	0	0	0	1	1	0	0	0	1
chr1A:3228783-3229901	Cluster_1083	366	81	114	88	76	0	0	1	0	0	0	0	1	1	1	0	3
chr1A:3241902-3243487	Cluster_1086	261	117	48	31	16	0	1	2	1	0	1	2	1	0	15	15	11
chr1A:3246265-3247886	Cluster_1088	570	135	168	118	119	0	0	0	0	0	1	0	0	2	6	12	9
chr1A:3251014-3252548	Cluster_1089	251	47	82	49	57	0	0	0	0	0	0	0	0	0	2	10	4
chr1A:3255351-3258884	Cluster_1091	866	176	235	239	197	0	0	1	0	0	0	0	0	2	2	6	8
chr1A:3264314-3266507	Cluster_1097	492	111	157	138	81	0	0	0	1	0	0	1	0	0	0	1	2
chr1A:3270251-3273173	Cluster_1099	414	85	118	88	122	0	0	0	0	0	0	0	0	0	0	0	1
chr1A:3296071-3300209	Cluster_1105	1141	445	258	223	179	0	1	0	0	0	0	0	0	4	7	11	13
chr1A:3313072-3314953	Cluster_1110	597	425	70	67	28	0	0	0	0	0	0	0	1	1	0	4	1
chr1A:3356450-3356721	Cluster_1130	272	37	64	41	39	0	0	0	0	0	0	1	0	0	17	36	37
chr1A:3359054-3360469	Cluster_1131	413	63	93	60	65	0	0	0	0	0	0	0	0	1	24	54	53
chr1A:3360761-3362361	Cluster_1132	422	101	95	79	30	0	0	0	0	0	0	1	1	0	25	35	55
chr1A:3391179-3392293	Cluster_1142	361	260	53	39	9	0	0	0	0	0	0	0	0	0	0	0	0
chr1A:3402462-3404473	Cluster_1145	472	57	122	85	47	0	0	0	0	0	0	0	0	0	31	60	70
chr1A:3444480-3447498	Cluster_1155	2707	543	839	714	575	0	1	1	0	0	0	1	2	3	6	10	12
chr1A:3467368-3468598	Cluster_1162	342	263	37	31	11	0	0	0	0	0	0	0	0	0	0	0	0
chr1A:3474330-3474596	Cluster_1165	859	236	225	168	214	0	0	0	0	0	0	0	3	0	3	5	5
chr1A:3489382-3491464	Cluster_1171	732	90	146	126	96	0	0	0	0	0	0	1	0	0	45	106	122
chr1A:3492769-3493464	Cluster_1173	616	92	138	118	96	0	0	0	0	0	0	2	1	0	39	56	74
chr1A:3499102-3503411	Cluster_1176	1306	163	317	260	128	0	1	0	0	0	0	1	0	1	80	173	182
chr1A:3516542-3517933	Cluster_1182	377	89	110	95	79	0	0	0	0	0	0	0	0	1	0	3	0
chr1A:3525935-3527662	Cluster_1183	291	28	55	29	33	0	0	0	0	0	0	2	0	0	31	60	53
chr1A:3593114-3596048	Cluster_1209	952	169	286	222	184	0	0	0	0	0	0	1	1	8	20	27	34
chr1A:3638950-3639303	Cluster_1215	267	30	44	36	48	0	0	0	0	0	1	0	0	0	19	41	48
chr1A:3640450-3641018	Cluster_1216	343	38	76	62	29	0	0	0	0	0	0	0	0	0	22	54	62
chr1A:3786946-3789911	Cluster_1261	770	552	91	72	47	0	0	0	0	0	0	0	0	1	2	4	1
chr1A:3790052-3792867	Cluster_1262	858	615	108	76	48	0	0	0	1	0	0	0	0	0	0	4	6
chr1A:3792943-3794829	Cluster_1263	428	287	59	45	30	0	0	0	0	0	0	0	0	0	2	1	4
chr1A:3849204-3851908	Cluster_1288	264	32	50	32	38	0	0	0	0	0	1	1	0	2	22	38	48
chr1A:3862460-3862858	Cluster_1297	2245	373	724	578	341	0	1	0	0	0	2	0	6	32	25	81	82
chr1A:3874458-3875146	Cluster_1306	251	29	57	43	43	0	1	0	0	0	0	1	0	2	15	26	34
chr1A:3885922-3887912	Cluster_1312	401	76	105	78	139	0	0	0	0	0	0	0	0	0	1	1	1
chr1A:3921378-3923684	Cluster_1329	371	57	102	62	55	0	0	0	0	0	0	0	1	0	19	29	46
chr1A:3932733-3933714	Cluster_1331	343	38	69	60	47	0	0	0	1	0	0	0	0	1	25	46	56
chr1A:3963600-3965285	Cluster_1340	425	97	133	112	75	0	0	0	0	2	0	0	1	0	0	2	3
chr1A:4010706-4011700	Cluster_1350	249	189	23	17	19	0	0	0	0	0	0	0	0	0	1	0	0
chr1A:4051535-4051872	Cluster_1362	545	60	139	117	78	0	0	0	0	0	0	0	0	0	25	65	61
chr1A:4052100-4052392	Cluster_1363	327	38	76	60	55	0	0	0	0	0	0	0	0	0	13	37	48
chr1A:4086596-4088548	Cluster_1373	513	297	96	69	48	0	0	0	0	0	0	0	0	0	0	1	2
chr1A:4121233-4122817	Cluster_1390	258	39	48	40	33	0	0	0	0	0	0	0	0	0	12	42	44
chr1A:4122897-4127168	Cluster_1391	621	66	129	110	81	0	1	1	0	1	0	0	2	2	42	86	100
chr1A:4147354-4157580	Cluster_1404	3448	452	803	583	430	0	0	0	0	2	0	5	3	5	177	461	527
chr1A:4240204-4242077	Cluster_1439	290	49	81	77	56	0	0	0	0	0	1	0	0	1	3	14	8
chr1A:4243015-4245246	Cluster_1441	376	49	93	78	46	0	0	0	0	0	0	0	0	0	21	31	58
chr1A:4269712-4270252	Cluster_1449	285	53	81	86	62	0	0	0	0	0	0	0	1	0	2	0	0
chr1A:4279334-4282765	Cluster_1452	1258	271	437	312	184	0	0	0	0	2	0	1	2	5	11	14	19
chr1A:4307621-4310216	Cluster_1460	1597	286	512	397	257	0	0	0	0	1	2	0	3	5	32	48	54
chr1A:4337524-4339643	Cluster_1471	334	82	102	91	50	0	0	0	0	0	0	0	0	1	4	3	1
chr1A:4401578-4403514	Cluster_1491	279	79	65	50	78	0	1	0	0	0	0	0	1	0	1	2	2
chr1A:4412717-4414870	Cluster_1495	764	304	172	130	93	0	0	0	0	1	1	1	2	8	9	24	19
chr1A:4439364-4441158	Cluster_1506	491	208	134	106	40	0	0	0	1	0	1	0	0	0	1	0	0
chr1A:4551523-4553829	Cluster_1553	1917	460	671	460	299	0	0	1	0	0	3	0	3	3	0	11	6
chr1A:4569945-4572682	Cluster_1558	649	105	166	116	82	0	0	0	0	0	1	1	0	0	22	62	94
chr1A:4574251-4576082	Cluster_1559	359	98	112	83	56	0	1	0	0	0	0	0	0	2	1	3	3
chr1A:4611302-4613893	Cluster_1573	493	54	115	96	55	0	0	0	0	0	0	0	0	0	30	64	79
chr1A:4665537-4667358	Cluster_1588	512	274	102	76	56	0	0	0	0	0	0	0	1	0	0	2	1
chr1A:4694297-4696447	Cluster_1603	255	54	66	60	75	0	0	0	0	0	0	0	0	0	0	0	0
chr1A:4699100-4700529	Cluster_1607	2867	695	938	786	377	0	0	0	0	0	0	0	2	5	12	27	25
chr1A:4703000-4707094	Cluster_1610	880	92	182	161	120	0	4	1	3	1	2	0	0	2	56	124	132
chr1A:4714436-4716607	Cluster_1614	361	38	84	66	37	0	2	2	0	0	1	7	3	2	25	47	47
chr1A:4722528-4722629	Cluster_1621	477	200	154	115	5	0	0	0	0	0	0	0	0	1	0	1	1
chr1A:4734353-4734818	Cluster_1624	249	28	55	40	57	0	0	0	0	0	0	0	0	1	15	22	31
chr1A:4779163-4781562	Cluster_1640	434	51	93	61	78	0	0	0	0	0	0	0	0	0	25	51	75
chr1A:4796469-4797353	Cluster_1652	8015	1891	3123	2440	443	0	0	0	1	1	2	1	16	19	21	25	32
chr1A:4808957-4810920	Cluster_1659	298	54	96	62	81	0	0	0	0	0	0	0	0	1	1	1	2
chr1A:4818241-4818497	Cluster_1664	285	60	55	51	29	0	0	0	0	1	0	0	2	4	20	38	25
chr1A:4837410-4838198	Cluster_1671	780	464	140	126	50	0	0	0	0	0	0	0	0	0	0	0	0
chr1A:4838313-4838708	Cluster_1672	246	143	45	43	13	0	0	0	0	0	0	0	0	0	1	1	0
chr1A:4849870-4851516	Cluster_1674	1572	384	467	337	369	0	0	0	1	0	1	0	1	2	1	2	7
chr1A:4860450-4861334	Cluster_1678	301	60	114	63	63	0	0	0	0	0	0	0	0	0	0	0	1
chr1A:4879288-4883913	Cluster_1684	665	66	165	119	83	0	0	1	0	0	0	1	0	1	41	85	103
chr1A:4884074-4886143	Cluster_1685	4753	1004	1583	1280	878	1	0	0	0	0	0	0	3	0	0	3	1
chr1A:4891274-4893586	Cluster_1688	623	148	191	141	122	0	1	0	0	0	1	0	2	0	5	8	4
chr1A:4927277-4929022	Cluster_1703	1033	684	174	125	42	0	1	0	0	0	0	0	0	3	1	0	3
chr1A:4933491-4935666	Cluster_1705	580	84	204	136	152	0	0	0	0	0	0	0	0	0	0	2	2
chr1A:4941209-4944386	Cluster_1706	1892	401	659	575	243	0	0	0	1	1	0	0	0	0	1	8	3
chr1A:4953650-4955820	Cluster_1717	1629	187	358	235	223	0	0	0	0	0	0	0	2	0	127	252	245
chr1A:5016242-5018544	Cluster_1742	514	173	108	118	86	0	0	0	0	0	0	0	4	5	7	6	7
chr1A:5061753-5063869	Cluster_1760	266	83	64	60	39	1	0	0	0	1	0	0	2	3	1	6	6
chr1A:5089022-5091171	Cluster_1770	273	57	70	46	45	0	1	0	0	1	0	0	1	0	16	14	22
chr1A:5112134-5112720	Cluster_1781	290	21	44	41	34	0	1	0	0	0	0	1	0	0	27	61	60
chr1A:5120303-5121470	Cluster_1785	588	50	102	81	71	1	0	0	0	0	0	1	0	0	51	86	145
chr1A:5148960-5150459	Cluster_1796	423	88	120	110	89	0	0	0	0	0	0	0	1	4	2	4	5
chr1A:5177811-5179887	Cluster_1806	285	61	82	65	73	0	1	0	0	0	0	0	0	2	1	0	0
chr1A:5329355-5329968	Cluster_1863	284	27	65	51	44	0	0	0	0	0	0	0	0	1	21	34	41
chr1A:5337162-5337655	Cluster_1870	1210	234	333	234	244	1	0	0	0	0	0	0	0	1	35	66	62
chr1A:5344527-5346533	Cluster_1872	730	161	234	223	109	0	0	0	0	0	0	0	0	0	0	1	2
chr1A:5354014-5356271	Cluster_1878	404	90	131	99	76	0	0	0	0	0	0	0	0	0	2	3	3
chr1A:5358059-5358339	Cluster_1880	280	31	61	54	46	0	0	0	0	0	1	0	0	0	13	34	40
chr1A:5437625-5438996	Cluster_1926	318	160	47	57	51	0	0	0	0	0	0	0	0	0	1	1	1
chr1A:5457307-5458120	Cluster_1935	282	49	77	57	45	0	1	0	0	0	0	0	0	0	11	17	25
chr1A:5530661-5531468	Cluster_1958	251	30	58	32	32	0	0	0	0	0	0	0	0	1	17	42	39
chr1A:5542893-5544684	Cluster_1964	929	571	163	113	68	0	1	0	0	0	0	0	0	2	2	3	6
chr1A:5567255-5571050	Cluster_1972	642	102	96	137	101	0	0	0	0	0	1	1	1	1	30	72	100
chr1A:5600922-5604233	Cluster_1987	421	40	83	69	40	0	0	0	0	0	1	0	0	1	29	67	91
chr1A:5604311-5606356	Cluster_1988	336	58	68	54	58	0	0	0	0	0	1	1	1	2	17	42	34
chr1A:5606503-5610634	Cluster_1989	1127	288	309	191	239	0	0	0	0	1	1	0	7	14	18	22	37
chr1A:5680829-5683125	Cluster_2024	310	36	60	44	45	0	0	0	0	2	1	0	2	1	23	49	47
chr1A:5685496-5687756	Cluster_2026	475	53	89	85	64	0	0	0	0	0	0	0	0	0	30	69	85
chr1A:5751742-5757711	Cluster_2036	2460	510	714	561	669	0	1	0	0	0	0	0	1	0	0	2	2
chr1A:5768550-5769619	Cluster_2041	457	44	72	68	50	0	1	0	0	0	0	0	0	0	20	99	103
chr1A:5782701-5783097	Cluster_2046	741	69	165	122	87	0	0	0	0	0	0	1	0	0	50	121	126
chr1A:5792508-5794128	Cluster_2051	264	62	80	67	53	0	0	0	0	0	0	0	0	0	1	1	0
chr1A:5853189-5854805	Cluster_2064	419	46	101	71	50	0	0	0	0	0	0	0	0	0	32	52	67
chr1A:5855706-5856212	Cluster_2065	286	29	72	46	26	0	0	0	0	0	0	1	0	0	25	41	46
chr1A:5857005-5857519	Cluster_2066	730	100	154	142	53	0	1	0	0	0	0	1	0	0	58	118	103
chr1A:5859318-5860063	Cluster_2070	955	90	227	185	102	0	0	0	0	0	0	1	0	1	48	135	166
